Test Case ID,Test Title,Description,Preconditions,Test Steps,Test Data,Expected Output,Actual Output,Status
TC-AS-05,Filter Search by Genre,Verify users can filter search results by genre,"Books with different genres exist in the database; user is logged in","1. Navigate to Search page 2. Select Technology from genre filter dropdown 3. Click Search",Genre filter: Technology,Only Technology genre books appear in results; other genres excluded,Search results displayed only Technology genre books; the genre filter was applied correctly on the backend,Pass
TC-AS-06,Search Returns No Results,Verify an appropriate empty state is shown when a search finds no matches,Search page is accessible,"1. Navigate to Search page 2. Enter a nonsensical query 3. Press Search or click Search button",Query: xyznonexistentbook999,No results message displayed; search bar remains active for new query,Search returned no results and an empty state message was displayed indicating no matching books were found,Pass
TC-PR-01,View User Profile Page,Verify logged-in user can access and view their profile page,User is logged in,"1. Login as user 2. Navigate to Profile page 3. View profile information",userId: logged-in user,Profile page shows name; email; join date; and reading stats,Profile page loaded successfully displaying username; email address; join date and reading statistics for the user,Pass
TC-PR-02,Update Display Name,Verify a user can successfully update their display name on the profile page,User is logged in,"1. Navigate to Profile page 2. Click Edit on the display name field 3. Enter new name 4. Click Save",New Name: Alex Reader,Display name updated to Alex Reader; confirmation message displayed,Display name was changed to Alex Reader successfully; a confirmation message appeared and the updated name was reflected on the profile page,Pass
TC-PR-03,Change Account Password Successfully,Verify a user can change their password using the correct current password,User is logged in,"1. Navigate to Profile or Security settings 2. Enter current password 3. Enter new password 4. Confirm new password 5. Click Save","Current: Test@1234, New: NewPass@5678",Password changed successfully; confirmation message shown; user can login with new password,Password was changed successfully; a success confirmation was displayed and the user was able to login with the new password,Pass
TC-PR-04,Change Password – Current Password Wrong,Verify that entering the wrong current password shows an error and blocks the change,User is logged in,"1. Navigate to Profile settings 2. Enter incorrect current password 3. Enter new password 4. Click Save","Current: WrongPass123, New: NewPass@5678",Error message indicating current password is incorrect; password not changed,Error message displayed stating the current password is incorrect; the password change was not applied,Pass
TC-PR-05,View Reading Stats on Profile,Verify reading statistics are displayed accurately on the user profile page,User has completed reading activity,"1. Login as user 2. Navigate to Profile page 3. View Reading Stats section",userId: user with reading history,Total books read; pages read; and reading streak shown correctly,Reading stats section displayed accurate values for total books read; total pages read; and current reading streak,Pass
TC-AN-01,Admin View All Registered Users,Verify admin can view the complete list of registered users,"Admin is logged in; users exist in database","1. Login as admin 2. Navigate to Admin Dashboard 3. Open Users section 4. View user list",Admin credentials,Full list of registered users displayed with name; email; role; and account status,Admin Users panel loaded successfully displaying all registered users with their names; emails; roles and account statuses,Pass
TC-AN-02,Admin View Dashboard Statistics,Verify admin dashboard shows total books; users; and feedback counts,Admin is logged in,"1. Login as admin 2. Navigate to Admin Dashboard home 3. View statistics tiles",Admin credentials,Dashboard shows total books; total users; total feedback; and active sessions counts,Admin dashboard displayed correct count statistics for total books; total users; feedback submissions; and currently active sessions,Pass
TC-AN-03,Admin Approve Access Request,Verify admin can approve a user's access request for restricted content,"Admin is logged in; at least one pending access request exists","1. Login as admin 2. Navigate to Access Requests section 3. Click Approve on a pending request",requestId: pending access request,Request marked as Approved; user gains access to the requested resource,Access request was approved successfully; the requesting user was granted access and the status updated to Approved in the dashboard,Pass
