Test Case ID,Test Title,Description,Preconditions,Test Steps,Test Data,Expected Output,Actual Output,Status
TC-BK-03,Admin Edit Book Details,Verify admin can edit existing book information,"Admin is logged in; a book exists in the database","1. Login as admin 2. Open Admin Dashboard 3. Click Edit on an existing book 4. Modify the title 5. Save changes","bookId: existing book, New Title: Clean Code (2nd Edition)",Book details updated; changes reflected in book list and user-facing pages,Book details were updated successfully; the changes appeared in both the admin book list and the public book catalogue,Pass
TC-BK-04,Admin Delete Book,Verify admin can soft-delete a book from the library,"Admin is logged in; book exists and is not already deleted","1. Login as admin 2. Open Admin Dashboard 3. Click Delete on a book 4. Confirm deletion action",bookId: book to be deleted,Book marked as deleted; no longer visible to regular users; remains in database for recovery,Book was soft-deleted successfully; it was removed from the user-facing catalogue while remaining in the admin database for potential recovery,Pass
TC-BK-05,Filter Books by Genre,Verify users can filter the books list by a specific genre,"Books with different genres exist in the database; user is logged in","1. Navigate to Books page 2. Select Technology from genre filter 3. View filtered results",Genre filter: Technology,Only books of Technology genre displayed; other genres hidden,Books page filtered correctly displaying only Technology genre books; other genres were excluded from the view,Pass
TC-BK-06,Sort Books by Title,Verify books can be sorted alphabetically by title,Multiple books exist in the database,"1. Navigate to Books page 2. Click Sort by Title option 3. View sorted book list",Sort field: Title (A-Z),Books listed in alphabetical order by title from A to Z,Books were sorted and displayed in correct alphabetical order by title from A to Z,Pass
TC-BK-07,View Book Details Page,Verify clicking on a book card opens its detailed information page,Books exist in the database,"1. Navigate to Books page 2. Click on a book card 3. View book details page",bookId: any valid book,Book details page shows title; author; description; genre; and functional Read Now button,Book details page loaded correctly showing title; author; full description; genre tag and a functional Read Now button,Pass
TC-BK-08,Add Book – Missing Required Fields,Verify admin cannot add a book without filling in all required fields,Admin is logged in and on the Add Book page,"1. Login as admin 2. Click Add Book 3. Leave title field empty 4. Fill other fields 5. Click Submit","Title: (empty), Author: Robert Martin",Validation error shown for missing title; book not saved to database,Form displayed a validation error indicating the title field is required; book was not saved to the database,Pass
TC-AS-01,Search Books by Title,Verify the advanced search bar returns relevant results,Books exist in the database,"1. Navigate to Search page 2. Type a book title in search bar 3. Press Enter or click Search",Query: Clean Code,List of matching books displayed; results filtered by title,Search returned a filtered list of books matching the query Clean Code with correct titles and cover images,Pass
TC-AS-02,Search History Saved,Verify search queries are saved to user's search history,User is logged in,"1. Login as user 2. Go to Search Hub 3. Search for Python 4. Go back to Search Hub",Query: Python,Python appears in search history list below search bar,The query Python was saved to search history and appeared in the history section when the user returned to the Search Hub page,Pass
TC-AS-03,Clear Search History,Verify user can clear their entire search history,"User is logged in; has previous search history entries","1. Login as user 2. Go to Search Hub 3. Click Clear History button 4. Confirm the action",userId: user with existing search history,All search history entries removed; empty state message shown,Search history was cleared completely; an empty state message appeared confirming no search history exists,Pass
TC-AS-04,Filter Search by Author,Verify users can filter search results by author name,"Books with author data exist in database; user is logged in","1. Navigate to Search page 2. Enter author name in author filter field 3. Apply search",Author filter: Robert Martin,Only books authored by Robert Martin displayed in results,Search results filtered to show only books authored by Robert Martin; other books were excluded from the results,Pass
