Test Case ID,Test Title,Description,Preconditions,Test Steps,Test Data,Expected Output,Actual Output,Status
TC-BS-01,View Bookshelf Lists,Verify user can view their bookshelf with standard lists (Favourites; Reading; Wishlist),"User is logged in; user has books in at least one list","1. Login as user 2. Navigate to /bookshelf 3. Observe the Favourites; Reading and Wishlist sections",userId: logged-in user with books in bookshelf,All three standard lists displayed with correct book counts and cover images,Bookshelf page loaded and displayed Favourites; Reading and Wishlist sections each showing the correct number of books with cover images and titles,Pass
TC-BS-02,Add Book to Favourites from Books Page,Verify user can add a book to the Favourites list directly from the Books catalogue page,"User is logged in; at least one book exists in the catalogue","1. Login as user 2. Navigate to /books 3. Click on a book card 4. Click Add to Bookshelf 5. Select Favourites from the dropdown","Book: Clean Code, Target List: favourites",Book added to Favourites; success toast message displayed; book appears in Bookshelf under Favourites,"Book Clean Code was added to Favourites successfully; a success toast notification appeared and the book was visible in the Bookshelf under the Favourites section",Pass
TC-BS-03,Add Book to Wishlist from Books Page,Verify user can add a book to the Wishlist via the dropdown on the book listing page,"User is logged in; book exists in catalogue","1. Login as user 2. Navigate to /books 3. Click on a book 4. Click Add to Bookshelf 5. Select Wishlist from the dropdown","Book: Atomic Habits, Target List: wishlist",Book added to Wishlist; success toast shown; book visible in Bookshelf Wishlist section,"Book Atomic Habits was added to the Wishlist; a success confirmation toast appeared and the book appeared in the Bookshelf Wishlist section on next visit",Pass
TC-BS-04,Remove Book from Bookshelf,Verify user can remove a book from a bookshelf list using the remove button on the book card,"User is logged in; at least one book exists in any bookshelf list","1. Login as user 2. Navigate to /bookshelf 3. Hover over a book card 4. Click the X (Remove) button 5. Confirm removal","Book in Favourites list; bookId: existing entry",Book removed from the list; book count decremented; toast confirmation shown,"Book was removed from the Favourites list; the card disappeared immediately; the book count updated and a success toast message appeared confirming removal",Pass
TC-BS-05,Move Book Between Bookshelf Lists,Verify user can move a book from one list to another using the Move button,"User is logged in; at least one book exists in the Wishlist","1. Login as user 2. Navigate to /bookshelf 3. Hover over a book in Wishlist 4. Click Move button 5. Select Reading from the move modal","Book in Wishlist; target: reading list",Book removed from Wishlist and added to Reading; both lists update immediately,"Book was successfully moved from Wishlist to the Reading list; it disappeared from Wishlist and appeared in the Reading section with a toast confirmation message",Pass
TC-BS-06,Create Custom Bookshelf List,Verify user can create a new custom bookshelf list to organise books,"User is logged in; Bookshelf page is accessible","1. Login as user 2. Navigate to /bookshelf 3. Click Create New List button 4. Enter a custom list name 5. Click Create","Custom list name: Must Read Classics",New custom list created and visible in the bookshelf alongside standard lists; empty state shown,"Custom list Must Read Classics was created successfully; it appeared in the bookshelf navigation and showed an empty state prompting the user to add books",Pass
TC-BS-07,Clear All Books from a Bookshelf List,Verify user can clear all books from a list using the Clear All action,"User is logged in; target list has at least two books","1. Login as user 2. Navigate to /bookshelf 3. Open a list section 4. Click Clear All 5. Confirm the action in the modal","List: Wishlist with 3 books",All books removed from the list; list shows empty state; toast confirmation displayed,"All three books were removed from the Wishlist after confirming the Clear All action; the section showed the empty state message and a success toast appeared",Pass
TC-BS-08,Delete Custom Bookshelf List,Verify user can permanently delete a custom bookshelf list they created,"User is logged in; at least one custom list exists","1. Login as user 2. Navigate to /bookshelf 3. Open a custom list section 4. Click Delete List button 5. Confirm deletion","Custom list: Must Read Classics",Custom list deleted and removed from navigation; books removed; confirmation toast shown,"Custom list Must Read Classics was deleted successfully; it was removed from the bookshelf navigation and all books within it were cleared; a toast confirmation appeared",Pass
TC-BS-09,Duplicate Book Handling in Bookshelf,Verify the system shows an appropriate error when a user tries to add a book already present in the same list,"User is logged in; a book already exists in the Favourites list","1. Login as user 2. Navigate to /books 3. Select a book already in Favourites 4. Click Add to Bookshelf 5. Select Favourites","Book already in Favourites: Clean Code",Error or warning toast shown indicating the book is already in the selected list; no duplicate created,"The system displayed a warning toast indicating the book Clean Code had already been added or the borrow limit was reached; no duplicate entry was created in the Favourites list",Pass
TC-BS-10,Empty Bookshelf List State,Verify an appropriate empty state message is shown when a bookshelf list contains no books,"User is logged in; a list (e.g. Reading) is empty","1. Login as user 2. Navigate to /bookshelf 3. Select the Reading list tab 4. Observe the content area",Reading list: no books added,Empty state UI shown with icon; message; and an Explore Library button,"The Reading list displayed an empty state with an icon; a message saying the shelf is empty; and an Explore Library button that navigated to the books catalogue",Pass
