Test Case ID,Test Title,Description,Preconditions,Test Steps,Test Data,Expected Output,Actual Output,Status
TC-UM-01,User Registration – Valid Data,Verify a new user can register with valid details,Registration page is accessible,"1. Navigate to /register 2. Enter full name, email, password 3. Click Register","Name: John Doe, Email: john@test.com, Password: Test@1234",User account created; redirected to login page with success message,New user account was created successfully and the system redirected to the login page with a success confirmation message,Pass
TC-UM-02,User Login – Valid Credentials,Verify a registered user can log in successfully,User account exists in DB,"1. Navigate to /login 2. Enter email and password 3. Click Login","Email: john@test.com, Password: Test@1234",User is authenticated; authUser saved in localStorage; redirected to dashboard,User authenticated successfully; authUser object stored in localStorage; redirected to user dashboard,Pass
TC-UM-03,Admin Login – Invalid Credentials,Verify admin login fails with wrong password,Admin login page is accessible,"1. Navigate to /admin-login 2. Enter wrong password 3. Click Login","Email: admin@lib.com, Password: wrong123",Error message displayed; no redirect; user stays on login page,Login failed with an error message Invalid credentials displayed; page remained on admin login screen,Pass
TC-UM-04,User Registration – Duplicate Email,Verify registration fails when using an already registered email,An account with john@test.com already exists in the database,"1. Navigate to /register 2. Enter an already registered email 3. Fill other fields 4. Click Register",Email: john@test.com (duplicate),Error message shown indicating email is already in use; user stays on registration page,Registration failed with an error message indicating the email is already registered; user remained on the registration form,Pass
TC-UM-05,User Registration – Invalid Email Format,Verify that entering an invalid email format shows a validation error,Registration page is accessible,"1. Navigate to /register 2. Enter invalid email format 3. Fill other fields 4. Click Register",Email: johndoetest (invalid format),Inline validation error message appears; form not submitted,Validation error displayed below email field indicating invalid format; form submission was prevented,Pass
TC-UM-06,User Registration – Weak Password,Verify that a password not meeting requirements shows a validation error,Registration page is accessible,"1. Navigate to /register 2. Enter valid name and email 3. Enter a weak password 4. Click Register",Password: 123 (too short and weak),Password strength validation error displayed; registration blocked,Validation error appeared indicating password must meet complexity requirements; registration was blocked,Pass
TC-UM-07,User Logout,Verify a logged-in user can log out successfully,User is logged in,"1. Login as user 2. Click Logout button in navigation bar 3. Verify session is terminated",Email: john@test.com,User logged out; authUser cleared from localStorage; redirected to login page,User was logged out successfully; authUser was cleared from localStorage and the browser redirected to the login page,Pass
TC-UM-08,Password Reset Request,Verify user can request a password reset via email,User account exists in the database,"1. Navigate to /forgot-password 2. Enter registered email address 3. Click Send Reset Link",Email: john@test.com,Confirmation message shown; password reset email sent to registered address,Success confirmation displayed indicating reset link was sent to the registered email address,Pass
TC-UM-09,User Profile Update – Name,Verify a user can update their display name successfully,User is logged in,"1. Navigate to Profile page 2. Click Edit on display name field 3. Enter new name 4. Click Save",New Name: Jane Doe,Name updated successfully; confirmation shown; profile reflects new name,Display name updated to Jane Doe; success message appeared and profile page reflected the change immediately,Pass
TC-UM-10,Admin Login – Valid Credentials,Verify admin can log in using correct admin credentials,Admin account exists in database,"1. Navigate to /admin-login 2. Enter valid admin email and password 3. Click Login","Email: admin@lib.com, Password: Admin@1234",Admin authenticated; redirected to Admin Dashboard with full access,Admin logged in successfully; browser redirected to admin dashboard with full administrative controls visible,Pass
